# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 58K of event 'cycles:u'
# Event count (approx.): 577310561843
#
# Children      Self  Shared Object                            Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           IPC   [IPC Coverage]
# ........  ........  .......................................  ..................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
     0.36%     0.36%  librexgpu-xenos.so                       [.] rex::graphics::vulkan::VulkanCommandProcessor::UpdateSystemConstantValues(bool, rex::graphics::PrimitiveProcessor::ProcessingResult const&, bool, unsigned int, rex::graphics::draw_util::ViewportInfo const&, unsigned int, rex::graphics::reg::RB_DEPTHCONTROL, unsigned int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.34%     0.34%  librexgpu-xenos.so                       [.] rex::graphics::vulkan::VulkanCommandProcessor::WriteRegister(unsigned int, unsigned int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        -      -            
     0.31%     0.31%  libnvidia-glcore.so.615.71.09            [.] 0x0000000000db5820                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.31%     0.00%  libnvidia-glcore.so.615.71.09            [.] 0x00007fd1723b5820                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.30%     0.30%  librexgpu-xenos.so                       [.] rex::graphics::CommandProcessor::ExecutePacketType0(rex::memory::RingBuffer*, unsigned int)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                     -      -            
     0.30%     0.00%  libnvidia-glcore.so.615.71.09            [.] 0x00007fd1723a9580                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.30%     0.00%  [unknown]                                [.] 0x000055c2bafc1b60                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.30%     0.00%  [unknown]                                [.] 0x000055c2bb06a840                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.29%     0.00%  libc.so.6                                [.] __clock_gettime (inlined)                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       -      -            
     0.28%     0.28%  librexgpu-xenos.so                       [.] std::_Hashtable<rex::graphics::TextureCache::TextureKey, std::pair<rex::graphics::TextureCache::TextureKey const, std::unique_ptr<rex::graphics::TextureCache::Texture, std::default_delete<rex::graphics::TextureCache::Texture> > >, std::allocator<std::pair<rex::graphics::TextureCache::TextureKey const, std::unique_ptr<rex::graphics::TextureCache::Texture, std::default_delete<rex::graphics::TextureCache::Texture> > > >, std::__detail::_Select1st, std::equal_to<rex::graphics::TextureCache::TextureKey>, rex::XXHasher<rex::graphics::TextureCache::TextureKey>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<true, false, true> >::_M_locate(rex::graphics::TextureCache::TextureKey const&) const                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -            
